,cat_number,rank,face,face-score,shirt,shirt-score,body,tier,tier-score,hats,hats-score,total
4919,4920,5542,sunglasses heart,3.0,baseball red,47.4,blue cat skin,wild_1,1.9,beret red,9.3,61.6
4920,4921,8062,ninja blue,4.5,work red,3.4,blue cat skin,cool_1,1.2,beret red,9.3,18.4
4921,4922,2616,sunglasses pixel,5.8,nurse,115.7,blue cat skin,wild_2,4.2,arrowhead,8.8,134.4
4922,4923,2929,face face,9.1,overalls pink,60.0,blue cat skin,wild_2,4.2,pirate red,49.8,123.1
4923,4924,2010,smirk,6.3,labcoat,38.2,blue cat skin,classy_1,6.2,costume gorilla,109.3,160.1
4924,4925,8968,tired,5.9,robe blue,0.4,blue cat skin,cool_1,1.2,headband red,6.6,14.1
4926,4927,927,double face,3.8,viking navy,68.4,blue cat skin,exotic_1,16.0,crown gold,118.8,206.9
4927,4928,1407,sunglasses pixel,5.8,robe king,118.3,blue cat skin,classy_2,9.4,pirate red,49.8,183.3
4928,4929,3536,hearts,4.2,gown white,95.4,blue cat skin,wild_1,1.9,bucket hat green,3.0,104.4
4929,4930,8970,ninja blue,4.5,robe red,5.1,blue cat skin,cool_1,1.2,mohawk green,3.3,14.1
4930,4931,1125,stunned,2.8,hoodie red,79.7,blue cat skin,classy_1,6.2,helm bronze,107.2,195.8
